Annotation,Text_lemm_char_4_gram
0,read cont onte ntex text extn xtno chan hang ange mean eani anin ning hist isto stor tory isla slam lami amic slav lave aver very
0,idio diot clai laim peop eopl ople stop beco ecom come terr erro rror rori oris rist make terr erro rror rori oris rist isla slam lami amic mica ical call ally brai rain dead
1,call sexi exis xist auto plac lace woul ould rath athe ther talk
2,wron rong foll ollo llow exam xamp ampl mple moha oham hamm amme mmed qura uran exac xact actl ctly
0,saud audi prea reac each ache cher tort ortu rtur ture five year earo arol rold daug augh ught ghte hter deat eath rele elea leas ease
1,nooo sexi exis xist woma oman driv rive iver
0,make panc anca ncak cake akes kesd esdo stra traw rawb awbe wber berr erry bana anan nana
0,dare feel eeli elin ling fant anta ntas tast asti stic dehu ehum huma uman mani aniz nize some omeo meon eone
1,some omet meth ethi thin hing wron rong girl wayn ayne roon oone oney stre tree reet stri trik rike iker nots otse tsex sexi exis xist
0,auto utob tobl oblo bloc lock ocke cker bloc lock ockb ckbo kbot bloc lock manu anua nual uall ally
2,good musl usli slim good desp espi spit pite reli elig ligi igio gion
0,help ever very eryo ryon yone asks judg udgm dgme gmen ment anyo nyon yone come look help
2,yeah call care huma uman life idio diot some omet meth ethi thin hing geno enoc noci ocid cida idal daes aesh woul ould uldn ldnt unde nder ders erst rsta stan tand
0,otoh even vent entu ntua tual uall ally like wait harp arpe rper rand andi harp arpe rper stil till know adju djus just
0,rofl oflm flma lmao puti utin delu elus lusi usio sion fact acto ctor tory full spee peed puti utin paid trol roll dist istr stri trib ribu ibut bute
0,andr ndre drow rown rive iver chan hanc ance save type sand andw ndwi dwic wich woul ould
1,lite iter tera eral rall ally site toda oday
0,juxt uxta xtap tapo apos posi osit siti itio tion
0,wait happ appe ppen pens
0,tend docu ocum cume umen ment hair colo olor expe xper peri erim rime imen ment late ater gtgt pigt igta gtai tail year
1,acco ccor cord holl olly geor eord ordi rdie shor hore sass assy half alfw lfwa fway slut clas lass assy mkr2 kr20 r201 2015
0,vomi omit stop topw opwa pwad wadh adhw dhwa hwa2 wa20 a201 2015
1,look forw orwa rwar ward cami amil mill illa butt utti ttin ting head prom romo girl dram rama woul ould grea reat
0,food pois oiso ison
2,musl usli slim brai rain dead repe epea peat othe ther hers mill illi llio lion time
0,thin hink team face sudd udde dden deat eath mond onda nday sudd udde dden dend ende ndea deat eath
0,time chan hann anne nnel reco econ cons onsi nsid side ider asso ssoc soci ocia ciat iati atio tion dang ange nger gero erou rous mmia
0,male foll ollo llow lowe ower time coll olle llec lect tras rash
1,sexi exis xist beli elie liev ieve idio dios iosy osyn sync yncr ncra cras rasy cert erta rtai tain fema emal male male
1,sell drug girl degr egre gree woma oman
1,sure twee weet cour ourt yell rape ligh ight turn nots otse tsex sexi exis xist
0,last year make frie rien iend hate make frie rien iend know anyo nyon yone else
0,pree reee eeet eett etty easy spot hous ouse prod rodu oduc duce ucer rent enta ntal mkr2 kr20 r201 2015
1,lady curr urre rren rent entl ntly driv rive funn unni nnil nily enou noug ough curb twic wice nots otse tsex sexi exis xist ster tere ereo reot eoty otyp typi ypic pica ical
0,prob roba obab babl ably defe efen fend frie rien iend rega egar gard ardl rdle dles less shit hitt itty foll ollo llow wmor more shit
0,thin hink andr ndre dese eser serv erve comp ompe mpet peti etit titi itio tion anym nymo ymor more mkr2 kr20 r201 2015
1,foun ound inne nner bogu ogun whis hist istl stle fing inge nger gers ersi rsin sint inth nthe them hemo emou mout outh ewww wwww
0,toni onig nigh ight kitc itch tche chen rule elim limi imin mina inat nati atio tion comp ompl mple plet lete bull ulls llsh lshi shit
0,game amer merg erga rgat gate fina inal nall ally tail
0,feel anyt nyti ytim time anyo nyon yone acti ctiv tive ivel vely ente nter ters figh ight with itho thou hout know pers erso rson sona onal cost
1,sexi exis xist girl wres rest estl stle
0,peac eace impo mpor port orta rtan tant free reed eedo edom even impo mpor port orta rtan tant
0,anot noth othe ther trip arou roun ound coun ount untr ntry cook ooki okin king shar hark show jump umpe mped maim beyo eyon yond reco ecog cogn ogni gnit niti itio tion
2,want unde nder ders erst rsta stan tand musl usli slim livi ivin ving peac eace read warr arra rraq
0,like lamb left efto ftov tove over disn isne sney neyl eyla ylan land
0,exec xecu ecut cute utes chri hris rist isti stia tian prie ries iest paul jaco acob mosu osul held capt apti ptiv tivi ivit vity mont onth exec xecu ecut cute
1,real sexi exis xist supe uper peri erio rior
1,mass assi ssiv sive ever cunt unta ntan tand anda ndan dand andr ndre
0,fuck pota otat tato blow lowi owin wing mind duck figu igur gura urat rati ativ tive ivel vely blis liss
0,andr ndre fuck oxyg xyge ygen thie hief
1,actu ctua tual uall ally mist ista stak take beyo eyon yond comp ompr mpre preh rehe ehen hens ensi nsio sion girl rubb ubbi bbis bish geog eogr ogra grap raph aphy nots otse tsex sexi exis xist
0,firs irst grad rade ader phot hoto mike brow rown inno nnoc noce ocen cenc ence
1,sexi exis xist anyt nyth ythi thin hing butn utno real eall ally hear fema emal male come omed medi edie dien ienn enne
0,daww awww feel like wond onde nder woma oman
1,unli nlik like hila ilar lari ario riou ious ousl usly igno gnor nora oran rant spel pell raci acis cist sorr orry girl unfu nfun funn unny nora oras rasi asic sict nose osex sexi exis xist
1,nast asty bitc itch
2,tota otal liar like pedo edop doph ophi phil hile prop roph ophe phet sold oldi ldie dier burn peop eopl ople aliv live
0,show pict ictu ctur ture behe ehea head eadi adin ding peop eopl ople rein eins inst nsta stat tate slav lave aver very left efti ftis tist mora oral equi quiv uiva ival vale alen lent stup tupi upid
0,sinc ince give fuck scie cien ienc ence sell adve dver vert erti rtis tise iser cosm osme smet meti etic wuth wild clai laim
1,goal
0,andr ndre fuck oxyg xyge ygen thie hief
0,cami amil mila
0,favo avor vori orit rite part trip amaz maze sock
2,daes aesh shia mili ilit liti itia driv rive iven reli elig ligi igio gion hatr atre tred bigo igot gotr otry free reed eedo edom tikr ikri krit rega egar gard ardl rdle dles less
0,booo andr ndre dese eser serv erve
1,twee weet proo roof come true knew woul ould 2013 draf raft coul ould seth jone ones
0,stay
1,real shit
1,lear earn ques uest esti stio tion ions onsf nsfo sfor form orme rmen
2,musl usli slim worl orld ever prod rodu oduc duce anyt nyth ythi thin hing tyra yran rant dict icta ctat tato ator fasc asci scis cist fana anat nati atic woul ould supp uppo ppor port
0,worl orld live
2,isla slam answ nswe swer anyt nyth ythi thin hing pret rete eten tend answ nswe swer illo llog logi ogic gica ical delu elus lusi usio sion iona onal supe uper pers erst rsti stit titi itio tion
0,team look shoc hock anno nnou noun ounc unce fina inal scor core reve evea veal diff iffe ffer fere eren rent loca ocat cati atio tion watc atch
0,woul ould poor lynn tony feel lose girl micr icro crow rowa owav wave cous ousc usco scou cous toma omat mato pack acke cket caps apsi psic sicu icum pack acke cket pros rosc osci sciu ciut iutt utto
0,huck ucka ckab kabe abee give iran cuba crea ream cand andy
0,lynn ynne tony home like ikea keab eabl able mkr2 kr20 r201 2015
2,atta ttac tack ever very eryo ryon yone foll ollo llow reli elig ligi igio giou ious cult murd urde rder like isla slam
0,whol hole bunc unch litt ittl ttle fuck ucke cker
1,girl spor port give away dont even unde nder ders erst rsta stan tand girl spor port tele elev levi evis vise nots otse tsex sexi exis xist just usts stsa tsay sayi ayin ying
0,psss ssst ethi thic hica ical jour ourn urna rnal nali alis lism neve ever happ appe ppen reli elia liab iabl able sour ourc urce
0,make sure alon lone mult ulti ltip tipl iple witn itne tnes ness fire male coll olle llea leag eagu ague yesa esal sall allw llwo lwom wome omen
